county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
St. Joseph,2020-12-28,11448,2403,205,-,-,-,2948,6853,1160,6563,16134,23857
Starke,2020-12-28,1188,5,2,-,-,-,92,242,43,959,527,1529
Steuben,2020-12-28,2101,14,7,-,-,-,165,258,76,1692,777,2545
Sullivan,2020-12-28,1246,23,0,-,-,-,34,312,12,617,986,1615
Switzerland,2020-12-28,423,1,1,-,-,-,13,40,2,283,193,478
Tippecanoe,2020-12-28,9963,624,364,-,-,-,1717,1882,1670,8355,4525,14550
Tipton,2020-12-28,938,5,1,-,-,-,28,63,14,773,248,1035
Union,2020-12-28,349,2,2,-,-,-,13,107,2,224,247,473
Vanderburgh,2020-12-28,11440,1186,92,-,-,-,969,1255,96,2889,11957,14942
Vermillion,2020-12-28,999,4,1,-,-,-,21,162,3,775,409,1187
Vigo,2020-12-28,6336,422,79,-,-,-,270,2002,105,4346,4658,9109
Wabash,2020-12-28,2129,21,9,-,-,-,213,183,55,1956,544,2555
Warren,2020-12-28,432,0,1,-,-,-,11,51,6,347,142,495
Warrick,2020-12-28,4194,67,35,-,-,-,325,396,25,958,4034,5017
Washington,2020-12-28,1090,3,0,-,-,-,171,114,9,753,616,1378
Wayne,2020-12-28,3753,211,16,-,-,-,357,732,129,2795,2145,5069
Wells,2020-12-28,1662,6,3,-,-,-,59,133,34,1543,286,1863
White,2020-12-28,1804,15,11,-,-,-,215,195,189,1468,583,2240
Whitley,2020-12-28,2118,15,3,-,-,-,154,96,61,1975,350,2386
