county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Owen,2020-12-16,867,2,2,-,-,-,48,140,5,654,400,1059
Parke,2020-12-16,879,5,1,-,-,-,16,136,11,574,452,1037
Perry,2020-12-16,720,39,1,-,-,-,70,195,2,264,759,1025
Pike,2020-12-16,617,0,0,-,-,-,34,91,0,306,436,742
Porter,2020-12-16,7039,428,51,-,-,-,1673,1867,873,5551,4634,11058
Posey,2020-12-16,1421,24,1,-,-,-,89,74,12,171,1426,1609
Pulaski,2020-12-16,562,9,3,-,-,-,43,68,20,449,216,685
Putnam,2020-12-16,1599,84,9,-,-,-,136,175,27,1147,829,2003
Randolph,2020-12-16,1478,7,3,-,-,-,56,137,50,1176,455,1681
Ripley,2020-12-16,1828,4,5,-,-,-,87,166,28,1522,540,2090
Rush,2020-12-16,786,2,1,-,-,-,50,71,4,585,321,910
Scott,2020-12-16,1242,5,0,-,-,-,314,92,20,963,670,1653
Shelby,2020-12-16,2230,22,6,-,-,-,255,361,158,1364,1352,2874
Spencer,2020-12-16,942,7,1,-,-,-,93,137,26,485,669,1180
St. Joseph,2020-12-16,10516,2240,192,-,-,-,2718,6457,1094,5918,15111,22123
Starke,2020-12-16,1064,5,2,-,-,-,80,194,40,850,455,1345
Steuben,2020-12-16,1781,12,6,-,-,-,149,209,71,1407,679,2157
Sullivan,2020-12-16,1100,17,0,-,-,-,32,297,12,524,910,1446
Switzerland,2020-12-16,358,1,1,-,-,-,12,35,2,229,176,407
Tippecanoe,2020-12-16,8744,536,324,-,-,-,1502,1767,1519,7275,4079,12873
Tipton,2020-12-16,800,4,1,-,-,-,24,55,12,667,205,884
Union,2020-12-16,287,2,2,-,-,-,13,80,2,172,210,384
Vanderburgh,2020-12-16,10018,1054,80,-,-,-,866,1092,75,1661,11374,13110
Vermillion,2020-12-16,848,4,1,-,-,-,20,128,3,669,329,1001
Vigo,2020-12-16,5867,395,73,-,-,-,249,1491,101,4042,3932,8075
Wabash,2020-12-16,1990,21,8,-,-,-,170,173,50,1827,485,2362
Warren,2020-12-16,351,0,1,-,-,-,9,40,4,281,116,401
Warrick,2020-12-16,3676,59,25,-,-,-,293,348,17,536,3848,4401
Washington,2020-12-16,925,3,0,-,-,-,150,95,8,622,543,1173
Wayne,2020-12-16,3372,187,15,-,-,-,337,622,115,2487,1931,4533
Wells,2020-12-16,1537,6,3,-,-,-,50,128,27,1430,267,1724
White,2020-12-16,1515,10,9,-,-,-,189,170,173,1219,501,1893
Whitley,2020-12-16,1882,12,3,-,-,-,149,77,53,1754,316,2123
