county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Gibson,2020-12-19,2062,41,2,-,-,-,196,389,16,511,2163,2690
Grant,2020-12-19,3331,262,16,-,-,-,277,455,174,2907,1260,4341
Greene,2020-12-19,1409,4,1,-,-,-,48,192,17,1098,539,1654
Hamilton,2020-12-19,14021,728,494,-,-,-,1406,3935,750,10510,9324,20584
Hancock,2020-12-19,3480,99,22,-,-,-,268,538,76,2504,1827,4407
Harrison,2020-12-19,2015,11,9,-,-,-,52,124,46,1637,528,2211
Hendricks,2020-12-19,6664,602,167,-,-,-,882,1359,242,5312,4120,9674
Henry,2020-12-19,2976,75,7,-,-,-,208,336,55,2225,1322,3602
Howard,2020-12-19,4301,361,23,-,-,-,249,863,116,2982,2699,5797
Huntington,2020-12-19,1785,12,4,-,-,-,135,133,41,1590,438,2069
Jackson,2020-12-19,2215,16,18,-,-,-,1016,148,376,1716,1321,3413
Jasper,2020-12-19,1612,12,3,-,-,-,299,263,83,1363,743,2189
Jay,2020-12-19,1218,5,1,-,-,-,49,141,36,944,434,1414
Jefferson,2020-12-19,1628,25,11,-,-,-,56,119,41,1276,522,1839
Jennings,2020-12-19,1234,13,0,-,-,-,173,93,37,921,555,1513
Johnson,2020-12-19,7427,167,322,-,-,-,905,1453,252,6232,3790,10274
Knox,2020-12-19,2214,41,8,-,-,-,93,299,38,1438,1179,2655
Kosciusko,2020-12-19,4672,56,34,-,-,-,633,810,651,4079,1475,6205
Lagrange,2020-12-19,1371,7,3,-,-,-,202,303,89,1141,656,1886
Lake,2020-12-19,13587,5036,171,-,-,-,7345,10190,5032,11452,19845,36329
Laporte,2020-12-19,4032,604,10,-,-,-,1092,817,469,3722,2364,6555
Lawrence,2020-12-19,2428,6,10,-,-,-,199,129,22,2116,634,2772
Madison,2020-12-19,5672,411,26,-,-,-,519,1101,281,4507,2941,7729
Marion,2020-12-19,27558,11097,2037,-,-,-,9170,12506,4601,24333,33434,62368
Marshall,2020-12-19,2812,27,21,-,-,-,592,718,478,1778,1914,4170
Martin,2020-12-19,389,0,2,-,-,-,29,81,4,293,204,501
Miami,2020-12-19,1885,68,11,-,-,-,111,347,66,1554,802,2422
Monroe,2020-12-19,5251,258,199,-,-,-,1137,501,271,4056,3019,7346
Montgomery,2020-12-19,1638,19,5,-,-,-,536,249,156,1388,903,2447
Morgan,2020-12-19,3181,16,5,-,-,-,238,252,34,2736,922,3692
Newton,2020-12-19,573,5,2,-,-,-,115,73,21,494,253,768
Noble,2020-12-19,2748,15,29,-,-,-,533,265,543,2510,537,3590
Ohio,2020-12-19,288,1,1,-,-,-,5,28,4,188,131,323
Orange,2020-12-19,918,11,1,-,-,-,41,53,6,645,373,1024
Owen,2020-12-19,894,2,2,-,-,-,54,154,5,680,421,1106
Parke,2020-12-19,897,5,1,-,-,-,16,138,11,591,455,1057
Perry,2020-12-19,744,39,1,-,-,-,71,206,2,276,783,1061
Pike,2020-12-19,634,0,0,-,-,-,34,104,0,320,452,772
Porter,2020-12-19,7189,439,54,-,-,-,1731,1958,887,5706,4778,11371
Posey,2020-12-19,1450,24,1,-,-,-,89,78,13,185,1444,1642
Pulaski,2020-12-19,584,9,3,-,-,-,45,86,21,470,236,727
Putnam,2020-12-19,1678,84,11,-,-,-,141,188,27,1223,852,2102
Randolph,2020-12-19,1504,7,3,-,-,-,58,142,54,1197,463,1714
Ripley,2020-12-19,1879,4,6,-,-,-,94,178,30,1573,558,2161
Rush,2020-12-19,839,3,1,-,-,-,53,76,5,628,339,972
Scott,2020-12-19,1271,5,0,-,-,-,328,102,21,992,693,1706
Shelby,2020-12-19,2288,23,6,-,-,-,261,377,163,1410,1382,2955
Spencer,2020-12-19,979,7,1,-,-,-,95,144,28,511,687,1226
St. Joseph,2020-12-19,10677,2261,192,-,-,-,2764,6584,1107,6049,15322,22478
Starke,2020-12-19,1093,5,2,-,-,-,83,205,40,880,468,1388
Steuben,2020-12-19,1840,12,6,-,-,-,149,216,72,1464,687,2223
Sullivan,2020-12-19,1115,17,0,-,-,-,32,312,12,538,926,1476
Switzerland,2020-12-19,367,1,1,-,-,-,12,34,2,238,175,415
Tippecanoe,2020-12-19,9004,549,331,-,-,-,1553,1802,1556,7520,4163,13239
Tipton,2020-12-19,831,4,1,-,-,-,25,67,12,696,220,928
Union,2020-12-19,299,2,2,-,-,-,13,90,2,183,221,406
Vanderburgh,2020-12-19,10243,1077,81,-,-,-,884,1164,79,1795,11575,13449
Vermillion,2020-12-19,878,4,1,-,-,-,20,137,3,693,344,1040
Vigo,2020-12-19,5943,398,76,-,-,-,253,1607,102,4106,4069,8277
Wabash,2020-12-19,2010,21,9,-,-,-,179,180,52,1848,499,2399
Warren,2020-12-19,381,0,1,-,-,-,9,47,6,305,127,438
Warrick,2020-12-19,3756,59,27,-,-,-,297,379,17,567,3934,4518
Washington,2020-12-19,959,3,0,-,-,-,159,99,8,653,559,1220
Wayne,2020-12-19,3454,189,15,-,-,-,340,666,115,2574,1975,4664
Wells,2020-12-19,1571,6,3,-,-,-,53,132,29,1462,274,1765
White,2020-12-19,1592,11,9,-,-,-,191,182,181,1286,518,1985
Whitley,2020-12-19,1925,13,3,-,-,-,150,80,57,1791,323,2171
