county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Gibson,2020-12-20,2087,42,2,-,-,-,197,437,16,535,2214,2765
Grant,2020-12-20,3418,273,17,-,-,-,283,476,179,2997,1291,4467
Greene,2020-12-20,1439,4,1,-,-,-,50,201,17,1128,550,1695
Hamilton,2020-12-20,14356,740,503,-,-,-,1431,4087,772,10840,9505,21117
Hancock,2020-12-20,3602,102,24,-,-,-,271,565,77,2618,1869,4564
Harrison,2020-12-20,2064,11,9,-,-,-,54,133,48,1683,540,2271
Hendricks,2020-12-20,6910,617,176,-,-,-,909,1403,251,5564,4200,10015
Henry,2020-12-20,3045,76,7,-,-,-,214,353,56,2287,1352,3695
Howard,2020-12-20,4419,364,23,-,-,-,250,907,119,3085,2759,5963
Huntington,2020-12-20,1862,12,4,-,-,-,142,135,42,1667,446,2155
Jackson,2020-12-20,2244,16,20,-,-,-,1031,160,380,1740,1351,3471
Jasper,2020-12-20,1646,12,3,-,-,-,304,285,87,1395,768,2250
Jay,2020-12-20,1234,5,1,-,-,-,49,144,36,958,439,1433
Jefferson,2020-12-20,1675,27,11,-,-,-,56,138,43,1315,549,1907
Jennings,2020-12-20,1268,13,0,-,-,-,179,100,39,950,571,1560
Johnson,2020-12-20,7627,174,333,-,-,-,944,1507,259,6445,3881,10585
Knox,2020-12-20,2251,42,8,-,-,-,94,309,38,1474,1192,2704
Kosciusko,2020-12-20,4745,56,35,-,-,-,637,891,655,4149,1560,6364
Lagrange,2020-12-20,1393,7,3,-,-,-,207,303,94,1162,657,1913
Lake,2020-12-20,13786,5082,175,-,-,-,7439,10558,5119,11641,20280,37040
Laporte,2020-12-20,4087,617,10,-,-,-,1148,844,481,3789,2436,6706
Lawrence,2020-12-20,2488,6,10,-,-,-,203,134,22,2174,645,2841
Madison,2020-12-20,5870,418,27,-,-,-,527,1139,286,4698,2997,7981
Marion,2020-12-20,28197,11329,2098,-,-,-,9322,12983,4697,25096,34136,63929
Marshall,2020-12-20,2837,28,21,-,-,-,594,735,487,1797,1931,4215
Martin,2020-12-20,397,0,2,-,-,-,29,82,4,300,206,510
Miami,2020-12-20,1946,69,11,-,-,-,115,359,67,1614,819,2500
Monroe,2020-12-20,5321,258,199,-,-,-,1151,533,271,4114,3077,7462
Montgomery,2020-12-20,1720,19,5,-,-,-,543,257,160,1462,922,2544
Morgan,2020-12-20,3306,16,5,-,-,-,241,257,36,2853,936,3825
Newton,2020-12-20,580,5,2,-,-,-,116,75,22,500,256,778
Noble,2020-12-20,2854,16,29,-,-,-,540,282,554,2590,577,3721
Ohio,2020-12-20,310,1,1,-,-,-,5,29,5,204,137,346
Orange,2020-12-20,947,11,1,-,-,-,41,60,6,669,385,1060
Owen,2020-12-20,918,2,2,-,-,-,56,162,5,700,435,1140
Parke,2020-12-20,923,5,1,-,-,-,17,142,11,619,458,1088
Perry,2020-12-20,752,39,1,-,-,-,73,217,3,277,802,1082
Pike,2020-12-20,660,0,0,-,-,-,34,115,0,345,464,809
Porter,2020-12-20,7329,445,56,-,-,-,1764,2049,901,5830,4912,11643
Posey,2020-12-20,1487,24,1,-,-,-,89,85,13,218,1455,1686
Pulaski,2020-12-20,596,9,3,-,-,-,48,87,22,483,238,743
Putnam,2020-12-20,1761,84,12,-,-,-,144,205,27,1298,881,2206
Randolph,2020-12-20,1519,7,3,-,-,-,57,146,52,1212,468,1732
Ripley,2020-12-20,1929,4,6,-,-,-,95,192,32,1615,579,2226
Rush,2020-12-20,869,3,1,-,-,-,53,79,5,654,346,1005
Scott,2020-12-20,1296,5,0,-,-,-,343,111,21,1021,713,1755
Shelby,2020-12-20,2360,26,6,-,-,-,264,393,163,1470,1416,3049
Spencer,2020-12-20,1011,7,2,-,-,-,97,153,27,542,701,1270
St. Joseph,2020-12-20,10791,2282,194,-,-,-,2788,6778,1118,6166,15549,22833
Starke,2020-12-20,1107,5,2,-,-,-,84,223,40,896,485,1421
Steuben,2020-12-20,1913,12,6,-,-,-,150,227,73,1533,702,2308
Sullivan,2020-12-20,1141,17,0,-,-,-,32,318,12,555,941,1508
Switzerland,2020-12-20,380,1,1,-,-,-,12,38,2,250,180,432
Tippecanoe,2020-12-20,9205,568,335,-,-,-,1586,1849,1580,7718,4245,13543
Tipton,2020-12-20,852,4,1,-,-,-,27,70,13,715,226,954
Union,2020-12-20,317,2,2,-,-,-,13,91,2,201,222,425
Vanderburgh,2020-12-20,10464,1101,83,-,-,-,902,1218,85,2024,11659,13768
Vermillion,2020-12-20,911,4,1,-,-,-,21,154,3,724,364,1091
Vigo,2020-12-20,6046,403,76,-,-,-,255,1778,102,4195,4261,8558
Wabash,2020-12-20,2041,21,9,-,-,-,186,185,54,1878,510,2442
Warren,2020-12-20,394,0,1,-,-,-,9,51,6,318,131,455
Warrick,2020-12-20,3839,60,28,-,-,-,305,389,18,654,3949,4621
Washington,2020-12-20,988,3,0,-,-,-,163,112,8,675,583,1266
Wayne,2020-12-20,3528,189,16,-,-,-,347,704,120,2644,2020,4784
Wells,2020-12-20,1603,6,3,-,-,-,54,132,29,1491,278,1798
White,2020-12-20,1670,11,9,-,-,-,192,193,184,1361,530,2075
Whitley,2020-12-20,1970,14,3,-,-,-,152,86,60,1832,333,2225
