,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
2,2020-11-29,Polk,1921,-,-,24,-,-,21,169,25,1769,347,2141
3,2020-11-29,Portage,4032,44,179,12,-,-,139,249,253,3810,592,4655
4,2020-11-29,Price,322,-,7,-,-,-,6,378,-,302,412,716
5,2020-11-29,Racine,10512,2213,111,73,-,-,829,280,2709,10529,780,14018
6,2020-11-29,Richland,622,-,10,-,-,-,31,199,52,568,245,865
7,2020-11-29,Rock,7235,479,123,34,-,-,895,600,1454,6812,1100,9366
34,2020-11-29,Rusk,396,7,-,-,-,-,7,455,14,491,364,869
36,2020-11-29,Sauk,2964,31,24,73,-,-,284,157,392,2833,308,3533
37,2020-11-29,Sawyer,610,-,5,139,-,-,26,107,9,729,152,890
38,2020-11-29,Shawano,2531,5,15,391,-,-,107,622,123,2523,1025,3671
39,2020-11-29,Sheboygan,6623,508,434,50,-,-,356,1087,917,6231,1910,9058
35,2020-11-29,St. Croix,3608,25,27,6,-,-,62,568,120,3415,761,4296
40,2020-11-29,Taylor,1117,-,-,-,-,-,8,43,62,1052,57,1171
41,2020-11-29,Trempealeau,1991,20,11,7,-,-,125,223,347,1724,306,2377
42,2020-11-29,Vernon,1070,-,5,-,-,-,13,46,22,1037,79,1138
43,2020-11-29,Vilas,872,-,-,128,-,-,21,215,14,921,305,1240
44,2020-11-29,Walworth,4765,91,22,25,-,-,339,616,883,4052,923,5858
45,2020-11-29,Washburn,653,-,-,7,-,-,-,17,10,661,11,682
46,2020-11-29,Washington,7925,107,81,25,-,-,197,395,289,6259,2182,8730
47,2020-11-29,Waukesha,21619,462,406,74,-,-,1086,2297,1677,17896,6371,25944
48,2020-11-29,Waupaca,2958,14,11,20,-,-,193,468,122,2728,814,3664
67,2020-11-29,Waushara,1419,112,12,20,-,-,94,85,255,1229,258,1742
68,2020-11-29,Winnebago,10727,572,341,92,-,-,556,811,722,10239,2138,13099
69,2020-11-29,Wood,3544,25,50,40,-,-,116,437,165,3360,687,4212
