,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
48,2020-11-09,Pierce,1034,17,-,-,-,-,7,56,43,987,89,1119
43,2020-11-09,Polk,923,-,-,5,-,-,9,62,12,896,95,1003
24,2020-11-09,Portage,3038,37,163,6,-,-,101,192,199,2876,462,3537
15,2020-11-09,Price,224,-,-,-,-,-,-,260,-,195,296,492
57,2020-11-09,Racine,7238,1678,66,36,-,-,608,194,2026,7251,543,9820
62,2020-11-09,Richland,417,-,8,-,-,-,23,152,42,382,178,602
52,2020-11-09,Rock,5158,362,83,25,-,-,654,465,1115,4833,799,6747
4,2020-11-09,Rusk,173,-,-,-,-,-,-,204,8,179,196,383
34,2020-11-09,Sauk,2090,24,19,48,-,-,232,102,325,1989,201,2515
29,2020-11-09,Sawyer,347,-,-,82,-,-,19,58,5,405,102,512
67,2020-11-09,Shawano,2039,5,9,324,-,-,90,534,110,2054,837,3001
8,2020-11-09,Sheboygan,4441,465,212,42,-,-,234,728,660,4236,1226,6122
40,2020-11-09,St. Croix,2269,18,21,-,-,-,41,359,102,2179,431,2712
21,2020-11-09,Taylor,669,-,-,-,-,-,6,17,53,617,24,694
12,2020-11-09,Trempealeau,1138,10,10,-,-,-,99,125,278,948,160,1386
49,2020-11-09,Vernon,645,-,-,-,-,-,6,30,11,627,48,686
71,2020-11-09,Vilas,570,-,-,90,-,-,15,151,11,603,216,830
16,2020-11-09,Walworth,3394,70,17,21,-,-,263,419,721,2886,577,4184
44,2020-11-09,Washburn,327,-,-,-,-,-,-,7,5,328,6,339
58,2020-11-09,Washington,5462,61,47,13,-,-,142,218,208,4497,1238,5943
30,2020-11-09,Waukesha,13187,309,252,42,-,-,677,1462,1068,11084,3777,15929
53,2020-11-09,Waupaca,2418,13,10,16,-,-,163,381,109,2258,634,3001
25,2020-11-09,Waushara,1198,110,11,20,-,-,85,65,211,1072,206,1489
63,2020-11-09,Winnebago,8716,428,260,73,-,-,452,692,609,8301,1711,10621
35,2020-11-09,Wood,2194,11,29,27,-,-,78,206,88,1997,460,2545
