County_name,date,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Lee County,2020-11-04,11509,2160,-,-,-,-,1392,8692,5237,9517,8999,23753
Leon County,2020-11-04,4945,3147,-,-,-,-,1640,2567,1071,7015,4213,12299
Levy County,2020-11-04,707,179,-,-,-,-,188,92,230,819,117,1166
Liberty County,2020-11-04,362,126,-,-,-,-,29,25,30,393,119,542
Madison County,2020-11-04,354,630,-,-,-,-,56,33,55,928,90,1073
Manatee County,2020-11-04,7513,1313,-,-,-,-,2269,2596,3888,6819,2984,13691
Marion County,2020-11-04,7338,2043,-,-,-,-,976,708,1504,8462,1099,11065
Martin County,2020-11-04,2616,279,-,-,-,-,1203,1340,1908,2363,1167,5438
Monroe County,2020-11-04,1787,179,-,-,-,-,99,309,856,1155,363,2374
Nassau County,2020-11-04,1896,225,-,-,-,-,105,120,104,2096,146,2346
Okaloosa County,2020-11-04,3388,535,-,-,-,-,1348,1382,691,4572,1390,6653
Okeechobee County,2020-11-04,1253,220,-,-,-,-,200,97,667,1000,103,1770
Orange County,2020-11-04,17206,7557,-,-,-,-,10093,12260,13316,16460,17340,47116
Osceola County,2020-11-04,5794,926,-,-,-,-,4635,3183,7822,3275,3441,14538
Palm Beach County,2020-11-04,22516,8269,-,-,-,-,9486,13016,14491,24321,14475,53287
Pasco County,2020-11-04,8154,779,-,-,-,-,1667,632,2650,7746,836,11232
Pinellas County,2020-11-04,17232,4418,-,-,-,-,2525,2300,3126,18607,4742,26475
Polk County,2020-11-04,13756,4121,-,-,-,-,1989,3612,6817,12065,4596,23478
Putnam County,2020-11-04,1488,657,-,-,-,-,234,58,473,1877,87,2437
Santa Rosa County,2020-11-04,4165,610,-,-,-,-,374,888,264,4751,1022,6037
Sarasota County,2020-11-04,5776,731,-,-,-,-,1093,2362,1388,5679,2895,9962
Seminole County,2020-11-04,7068,1335,-,-,-,-,1486,709,2820,7069,709,10598
St. Johns County,2020-11-04,4924,493,-,-,-,-,475,813,568,5155,982,6705
St. Lucie County,2020-11-04,4024,2125,-,-,-,-,1247,1890,2095,4864,2327,9286
Sumter County,2020-11-04,1573,508,-,-,-,-,152,763,146,1799,1051,2996
Suwannee County,2020-11-04,1864,604,-,-,-,-,431,131,537,2285,208,3030
Taylor County,2020-11-04,810,566,-,-,-,-,81,50,131,1289,87,1507
Union County,2020-11-04,804,307,-,-,-,-,37,19,39,1114,14,1167
Volusia County,2020-11-04,6610,1668,-,-,-,-,2595,2304,2140,8088,2949,13177
Wakulla County,2020-11-04,916,234,-,-,-,-,103,92,63,1144,138,1345
Walton County,2020-11-04,1628,134,-,-,-,-,93,484,335,1564,440,2339
Washington County,2020-11-04,779,280,-,-,-,-,52,148,36,835,388,1259
