,datestamp,county,wh,bl,as,ai_an,nh_pi,two_plus,oth,his,nonhis,unk,unk,cum
80,2020-12-15,SCREVEN,185,212,6,-,-,-,0,8,390,85,90,488
84,2020-12-15,SEMINOLE,286,199,0,-,-,-,0,8,465,33,45,518
83,2020-12-15,SPALDING,1007,732,14,-,-,-,1,95,1416,448,691,2202
159,2020-12-15,STEPHENS,1360,176,13,-,-,-,0,29,1457,268,331,1817
90,2020-12-15,STEWART,51,137,4,-,-,-,0,299,188,398,103,590
10,2020-12-15,SUMTER,329,582,3,-,-,-,1,63,889,250,213,1165
85,2020-12-15,TALBOT,55,131,0,-,-,-,0,0,185,32,33,218
86,2020-12-15,TALIAFERRO,12,27,0,-,-,-,0,1,37,3,4,42
89,2020-12-15,TATTNALL,568,168,1,-,-,-,0,152,615,376,346,1113
154,2020-12-15,TAYLOR,105,152,0,-,-,-,1,5,259,55,49,313
88,2020-12-15,TELFAIR,326,139,1,-,-,-,1,33,407,80,107,547
157,2020-12-15,TERRELL,72,294,3,-,-,-,0,5,344,35,55,404
87,2020-12-15,THOMAS,870,937,11,-,-,-,2,75,1671,135,209,1955
91,2020-12-15,TIFT,1204,782,13,-,-,-,1,377,1905,602,320,2602
93,2020-12-15,TOOMBS,730,348,7,-,-,-,2,178,1046,681,544,1768
96,2020-12-15,TOWNS,554,4,4,-,-,-,1,17,530,66,82,629
94,2020-12-15,TREUTLEN,190,135,4,-,-,-,0,1,307,13,34,342
95,2020-12-15,TROUP,1197,1645,17,-,-,-,2,108,2385,711,1079,3572
125,2020-12-15,TURNER,137,191,4,-,-,-,0,14,328,77,67,409
92,2020-12-15,TWIGGS,76,172,1,-,-,-,0,3,221,36,61,285
121,2020-12-15,UNION,1068,6,6,-,-,-,0,22,1018,125,165,1205
100,2020-12-15,UPSON,453,363,3,-,-,-,0,18,806,180,175,999
158,2020-12-15,WALKER,1965,136,13,-,-,-,3,82,1739,990,1286,3107
17,2020-12-15,WALTON,1971,704,49,-,-,-,4,150,2393,826,1011,3554
101,2020-12-15,WARE,917,591,9,-,-,-,1,83,1341,463,557,1981
113,2020-12-15,WARREN,43,130,0,-,-,-,1,3,158,28,41,202
160,2020-12-15,WASHINGTON,345,526,0,-,-,-,0,18,760,194,287,1065
161,2020-12-15,WAYNE,784,216,9,-,-,-,0,54,919,576,612,1585
120,2020-12-15,WEBSTER,16,29,0,-,-,-,0,0,45,1,1,46
155,2020-12-15,WHEELER,151,74,2,-,-,-,0,7,211,149,158,376
19,2020-12-15,WHITE,1347,26,1,-,-,-,0,31,1290,231,284,1605
99,2020-12-15,WHITFIELD,5457,268,58,-,-,-,3,3741,3092,3379,2332,9165
16,2020-12-15,WILCOX,173,129,1,-,-,-,0,7,279,19,36,322
97,2020-12-15,WILKES,173,186,0,-,-,-,0,24,330,46,51,405
114,2020-12-15,WILKINSON,185,213,0,-,-,-,0,5,360,60,93,458
119,2020-12-15,WORTH,352,315,1,-,-,-,0,10,637,64,85,732
