county_name,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Monroe,2466.0,115.0,94.0,-,-,-,459.0,222.0,144,1553,1659,3356.0
Montgomery,351.0,6.0,0.0,-,-,-,174.0,100.0,62,294,275,631.0
Morgan,800.0,2.0,1.0,-,-,-,117.0,83.0,8,620,375,1003.0
Newton,170.0,3.0,0.0,-,-,-,36.0,28.0,11,145,81,237.0
Noble,817.0,5.0,12.0,-,-,-,254.0,141.0,215,761,253,1229.0
Ohio,116.0,0.0,0.0,-,-,-,1.0,16.0,0,73,60,133.0
Orange,380.0,3.0,1.0,-,-,-,24.0,16.0,1,264,159,424.0
Owen,165.0,2.0,1.0,-,-,-,14.0,33.0,3,120,92,215.0
Parke,206.0,0.0,1.0,-,-,-,5.0,44.0,5,135,116,256.0
Perry,245.0,4.0,0.0,-,-,-,38.0,82.0,1,115,253,369.0
Pike,295.0,0.0,0.0,-,-,-,19.0,43.0,0,111,246,357.0
Porter,2252.0,173.0,21.0,-,-,-,443.0,586.0,330,1741,1404,3475.0
Posey,675.0,14.0,1.0,-,-,-,54.0,32.0,10,77,689,776.0
Pulaski,152.0,2.0,1.0,-,-,-,6.0,17.0,4,115,59,178.0
Putnam,548.0,66.0,4.0,-,-,-,60.0,98.0,11,372,393,776.0
Randolph,319.0,3.0,0.0,-,-,-,21.0,49.0,15,214,163,392.0
Ripley,397.0,1.0,1.0,-,-,-,18.0,66.0,3,338,142,483.0
Rush,188.0,1.0,0.0,-,-,-,13.0,44.0,0,134,112,246.0
Scott,444.0,2.0,0.0,-,-,-,60.0,48.0,10,321,223,554.0
Shelby,617.0,7.0,1.0,-,-,-,134.0,147.0,81,409,416,906.0
Spencer,327.0,5.0,1.0,-,-,-,33.0,51.0,19,174,224,417.0
St. Joseph,3684.0,1095.0,66.0,-,-,-,1322.0,3439.0,579,2022,7005,9606.0
Starke,332.0,3.0,0.0,-,-,-,20.0,88.0,12,255,176,443.0
Steuben,431.0,6.0,1.0,-,-,-,82.0,140.0,29,279,352,660.0
Sullivan,354.0,2.0,0.0,-,-,-,4.0,97.0,0,158,299,457.0
Switzerland,69.0,0.0,0.0,-,-,-,5.0,24.0,0,42,56,98.0
Tippecanoe,2305.0,198.0,76.0,-,-,-,504.0,884.0,495,1849,1623,3967.0
Tipton,258.0,1.0,0.0,-,-,-,11.0,14.0,4,217,63,284.0
Union,70.0,0.0,,-,-,-,5.0,39.0,0,39,75,114.0
Vanderburgh,4617.0,581.0,37.0,-,-,-,464.0,472.0,50,828,5293,6171.0
Vermillion,228.0,1.0,0.0,-,-,-,0.0,43.0,1,160,111,272.0
Vigo,1878.0,166.0,29.0,-,-,-,68.0,612.0,52,1283,1418,2753.0
Wabash,338.0,6.0,1.0,-,-,-,43.0,55.0,16,286,141,443.0
Warren,79.0,0.0,0.0,-,-,-,2.0,10.0,1,65,25,91.0
Warrick,1737.0,30.0,9.0,-,-,-,150.0,124.0,9,256,1785,2050.0
Washington,317.0,2.0,0.0,-,-,-,33.0,35.0,5,205,177,387.0
Wayne,976.0,62.0,7.0,-,-,-,107.0,268.0,50,703,667,1420.0
Wells,387.0,2.0,1.0,-,-,-,15.0,51.0,8,353,95,456.0
White,435.0,4.0,4.0,-,-,-,100.0,80.0,89,320,214,623.0
Whitley,389.0,3.0,1.0,-,-,-,45.0,45.0,14,340,129,483.0
